,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,fare_amount,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
3251,2022-01-03 11:55:05,2022-01-03 12:07:33,43,24,10.5,40.782459738636334,-73.96557217995945,40.80203277299444,-73.96556852909367
3254,2022-01-03 11:06:16,2022-01-03 11:10:52,41,152,5.0,40.80420482862898,-73.95206533089232,40.81757720019101,-73.95432487462715
3255,2022-01-03 11:42:55,2022-01-03 11:55:34,41,75,9.5,40.80420482862898,-73.95206533089232,40.790650159764766,-73.94495666768462
3256,2022-01-03 11:38:10,2022-01-03 11:43:28,42,41,5.5,40.82104621409778,-73.93951646931666,40.80420482862898,-73.95206533089232
3257,2022-01-03 11:59:13,2022-01-03 12:11:03,74,236,9.5,40.80556556547766,-73.9383104968462,40.78049147573493,-73.95697238530639
3275,2022-01-03 11:58:25,2022-01-03 12:01:56,41,41,4.5,40.80420482862898,-73.95206533089232,40.80420482862898,-73.95206533089232
3300,2022-01-03 11:46:25,2022-01-03 11:54:56,75,263,6.5,40.790650159764766,-73.94495666768462,40.77849586877702,-73.95120799165441
3326,2022-01-03 11:56:25,2022-01-03 12:14:23,7,161,15.5,40.76108472915124,-73.92149056694653,40.75822648122193,-73.97743183810948
3362,2022-01-03 10:52:12,2022-01-03 10:58:36,74,43,6.5,40.80556556547766,-73.9383104968462,40.782459738636334,-73.96557217995945
3379,2022-01-03 11:59:18,2022-01-03 12:10:13,75,239,9.5,40.790650159764766,-73.94495666768462,40.784107364553954,-73.97827334184862
3492,2022-01-03 11:39:09,2022-01-03 11:50:40,74,151,10.0,40.80556556547766,-73.9383104968462,40.7978662680042,-73.96780839097322
56562,2022-01-03 10:37:00,2022-01-03 10:50:00,75,137,19.01,40.790650159764766,-73.94495666768462,40.74035923571167,-73.97711937073566
56563,2022-01-03 10:04:00,2022-01-03 10:19:00,166,48,18.98,40.80957022827245,-73.96181526438258,40.76223675561455,-73.98985665083148
56564,2022-01-03 10:07:00,2022-01-03 10:12:00,19,265,14.4,40.73647243913889,-73.72786939615672,,
56565,2022-01-03 10:04:00,2022-01-03 10:33:00,17,133,23.0,40.69199409627496,-73.94918130103822,40.63938720388805,-73.9743361977043
56566,2022-01-03 10:09:00,2022-01-03 10:36:00,95,141,32.53,40.72346527235991,-73.84821993627048,40.76683881658485,-73.95971267878048
56567,2022-01-03 10:53:52,2022-01-03 10:59:56,263,151,7.0,40.77849586877702,-73.95120799165441,40.7978662680042,-73.96780839097322
56568,2022-01-03 10:20:00,2022-01-03 10:29:00,166,151,13.2,40.80957022827245,-73.96181526438258,40.7978662680042,-73.96780839097322
56569,2022-01-03 10:59:00,2022-01-03 11:13:00,116,239,15.59,40.827535259806176,-73.94736754322265,40.784107364553954,-73.97827334184862
56570,2022-01-03 10:17:00,2022-01-03 10:29:00,243,220,14.41,40.85867028663149,-73.93282431823563,40.88190093857942,-73.91187726317284
56571,2022-01-03 11:13:00,2022-01-03 11:30:00,244,141,25.33,40.84121866986656,-73.94166681405747,40.76683881658485,-73.95971267878048
56572,2022-01-03 11:16:00,2022-01-03 11:29:00,75,142,13.78,40.790650159764766,-73.94495666768462,40.77390598538879,-73.98135241373991
56573,2022-01-03 11:05:00,2022-01-03 11:15:00,220,243,16.94,40.88190093857942,-73.91187726317284,40.85867028663149,-73.93282431823563
56575,2022-01-03 11:11:00,2022-01-03 11:19:00,166,42,13.2,40.80957022827245,-73.96181526438258,40.82104621409778,-73.93951646931666
56576,2022-01-03 11:38:00,2022-01-03 11:48:00,152,42,13.2,40.81757720019101,-73.95432487462715,40.82104621409778,-73.93951646931666
56577,2022-01-03 11:20:00,2022-01-03 11:32:00,42,43,13.2,40.82104621409778,-73.93951646931666,40.782459738636334,-73.96557217995945
